2022 Utility Bundled Retail Sales- Commercial;;;;;;
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S);;;;;;
Entity;State;Ownership;Customers (Count);Sales (Megawatthours);Revenues (Thousands Dollars);Average Price (cents/kWh)
TerraForm US Energy Services, LLC;AZ;Behind the Meter;29;16.013;1.868,0;11,67
Tesla Inc.;AZ;Behind the Meter;828;83.082;5.979,0;7,20
Trico Electric Cooperative Inc;AZ;Cooperative;2.253;222.513;27.189,4;12,22
Tucson Electric Power Co;AZ;Investor Owned;41.516;1.918.364;263.049,6;13,71
UNS Electric, Inc;AZ;Investor Owned;12.104;699.026;85.490,8;12,23
USBIA-San Carlos Project;AZ;Federal;1.916;108.320;8.708,0;8,04
WAPA-- Western Area Power Administration;AZ;Federal;15;91.282;2.313,3;2,53
Ahana Renewables, LLC;CA;Behind the Meter;25;10.720;2.483,0;23,16
Alameda Municipal Power;CA;Municipal;4.231;200.602;36.122,1;18,01
Bear Valley Electric Service;CA;Investor Owned;1.498;33.596;9.535,7;28,38
City & County of San Francisco;CA;Municipal;372;793.301;135.815,4;17,12
City of Anaheim - (CA);CA;Municipal;17.557;727.427;124.625,0;17,13
City of Azusa;CA;Municipal;1.953;80.633;13.497,0;16,74
City of Burbank Water and Power;CA;Municipal;6.962;704.221;110.330,0;15,67
City of Colton - (CA);CA;Municipal;2.934;78.352;16.336,0;20,85
City of Corona - (CA);CA;Municipal;543;45.396;6.647,6;14,64
City of Glendale - (CA);CA;Municipal;13.328;598.974;115.817,0;19,34
City of Lodi - (CA);CA;Municipal;2.162;169.122;33.166,1;19,61
City of Moreno Valley - (CA);CA;Municipal;887;152.411;30.603,5;20,08
City of Palo Alto - (CA);CA;Municipal;3.823;557.259;97.682,0;17,53
City of Pasadena - (CA);CA;Municipal;8.746;687.013;126.819,4;18,46
City of Redding - (CA);CA;Municipal;6.006;352.758;59.137,0;16,76
City of Riverside - (CA);CA;Municipal;11.936;465.458;83.007,0;17,83
City of Roseville - (CA);CA;Municipal;7.154;416.158;60.832,0;14,62
City of Santa Clara - (CA);CA;Municipal;6.948;110.842;17.680,7;15,95
City of Vernon;CA;Municipal;1.321;416.736;86.515,7;20,76
Constellation Solar Holding, LLC;CA;Behind the Meter;26;92.626;15.380,7;16,61
Greenbacker Renewable Energy Corporation;CA;Behind the Meter;20;10.825;1.037,8;9,59
Greenskies Renewable Energy, LLC;CA;Behind the Meter;2;17.009;1.434,0;8,43
Imperial Irrigation District;CA;Political Subdivision;21.656;1.556.508;243.240,0;15,63
Kings River Conservation Dist;CA;Political Subdivision;1;109.144;850,4;0,78
Liberty Utilities;CA;Investor Owned;6.133;267.710;37.401,8;13,97
Longroad Energy;CA;Behind the Meter;156;40.483;6.743,7;16,66
Los Angeles Department of Water & Power;CA;Municipal;90.004;12.054.043;2.455.626,0;20,37
Merced Irrigation District;CA;Political Subdivision;1.582;250.243;38.970,8;15,57
Modesto Irrigation District;CA;Political Subdivision;29.673;850.513;121.866,0;14,33
PacifiCorp;CA;Investor Owned;7.566;241.343;34.184,7;14,16
Pacific Gas & Electric Co.;CA;Investor Owned;200.682;7.380.298;2.308.545,0;31,28
Sacramento Municipal Util Dist;CA;Political Subdivision;70.217;3.686.711;577.485,9;15,66
San Diego Gas & Electric Co;CA;Investor Owned;71.587;2.605.726;784.580,5;30,11
Scale Sustainable I, LLC;CA;Behind the Meter;2;341;62,0;18,18
Southern California Edison Co;CA;Investor Owned;458.427;28.360.357;5.676.805,0;20,02
Surprise Valley Electrification;CA;Cooperative;961;10.869;1.133,3;10,43
TerraForm US Energy Services, LLC;CA;Behind the Meter;81;36.333;5.944,0;16,36
Tesla Inc.;CA;Behind the Meter;6.326;358.854;47.790,0;13,32
Turlock Irrigation District;CA;Political Subdivision;9.803;551.246;73.112,0;13,26
Valley Electric Assn, Inc;CA;Cooperative;2;11;2,4;21,82
WAPA-- Western Area Power Administration;CA;Federal;46;940.876;70.544,1;7,50
Black Hills Colorado Electric, LLC;CO;Investor Owned;12.258;870.831;125.753,0;14,44
CORE Electric Cooperative;CO;Cooperative;13.828;845.049;101.149,0;11,97
