2022 Utility Bundled Retail Sales- Industrial;;;;;;
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S);;;;;;
Entity;State;Ownership;Customers (Count);Sales (Megawatthours);Revenues (Thousands Dollars);Average Price (cents/kWh)
New Smyrna Beach City of;FL;Municipal;148;86.868;9.100,0;10,48
Okefenoke Rural El Member Corp;FL;Cooperative;1;732;63,0;8,61
Peace River Electric Coop, Inc;FL;Cooperative;25;962;232,0;24,12
Sumter Electric Coop, Inc;FL;Cooperative;1.485;1.001.215;105.156,0;10,50
Suwannee Valley Elec Coop Inc;FL;Cooperative;9;134.617;11.497,0;8,54
Talquin Electric Coop, Inc;FL;Cooperative;5;159.764;14.454,8;9,05
Tampa Electric Co;FL;Investor Owned;1.357;2.110.885;176.383,8;8,36
Tri-County Electric Coop, Inc (FL);FL;Cooperative;290;143.611;11.974,1;8,34
West Florida El Coop Assn, Inc;FL;Cooperative;1;113.013;7.511,7;6,65
Withlacoochee River Elec Coop;FL;Cooperative;922;159.526;15.079,7;9,45
Altamaha Electric Member Corp;GA;Cooperative;245;9.947;1.219,0;12,25
Canoochee Electric Member Corp;GA;Cooperative;815;68.993;6.895,6;9,99
Carroll Electric Member Corp - (GA);GA;Cooperative;36;274.266;18.364,0;6,70
Central Georgia El Member Corp;GA;Cooperative;98;302.664;21.802,0;7,20
City of Buford;GA;Municipal;17;114.240;11.249,3;9,85
City of Calhoun - (GA);GA;Municipal;19;255.869;22.170,3;8,66
City of Cartersville - (GA);GA;Municipal;4;274.568;18.189,0;6,62
City of Chattanooga - (TN);GA;Municipal;2;24.907;1.389,0;5,58
City of College Park - (GA);GA;Municipal;2;303.629;9.616,6;3,17
City of Covington - (GA);GA;Municipal;9;171.730;12.324,9;7,18
City of Griffin - (GA);GA;Municipal;23;92.042;8.716,0;9,47
City of La Grange - (GA);GA;Municipal;62;226.470;17.465,0;7,71
City of Lawrenceville - (GA);GA;Municipal;2;645;72,9;11,30
City of Sylvania - (GA);GA;Municipal;5;646.406;46.456,3;7,19
