2022 Utility Bundled Retail Sales- Residential;;;;;;
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S);;;;;;
Entity;State;Ownership;Customers (Count);Sales (Megawatthours);Revenues (Thousands Dollars);Average Price (cents/kWh)
City of Pasadena - (CA);CA;Municipal;57.705;350.158;74.076,9;21,16
City of Redding - (CA);CA;Municipal;38.196;381.721;63.382,0;16,60
City of Riverside - (CA);CA;Municipal;99.639;795.300;143.611,0;18,06
City of Roseville - (CA);CA;Municipal;59.755;503.863;82.089,3;16,29
City of Santa Clara - (CA);CA;Municipal;50.889;261.798;36.361,9;13,89
City of Vernon;CA;Municipal;73;326;48,1;14,75
Imperial Irrigation District;CA;Political Subdivision;139.162;1.949.606;304.217,0;15,60
Liberty Utilities;CA;Investor Owned;43.856;294.017;46.741,5;15,90
Los Angeles Department of Water & Power;CA;Municipal;1.389.532;8.508.902;1.892.318,5;22,24
Merced Irrigation District;CA;Political Subdivision;10.814;83.283;17.051,2;20,47
Modesto Irrigation District;CA;Political Subdivision;102.397;982.856;177.268,0;18,04
PacifiCorp;CA;Investor Owned;36.303;392.938;57.980,3;14,76
Pacific Gas & Electric Co.;CA;Investor Owned;1.828.738;11.983.409;3.712.464,0;30,98
Sacramento Municipal Util Dist;CA;Political Subdivision;574.344;4.766.334;797.797,4;16,74
San Diego Gas & Electric Co;CA;Investor Owned;838.576;3.939.825;1.494.073,3;37,92
Southern California Edison Co;CA;Investor Owned;3.339.257;22.517.867;5.543.993,0;24,62
Spruce Finance;CA;Behind the Meter;17.808;153.412;31.973,7;20,84
SunPower Capital, LLC;CA;Behind the Meter;57.738;409.886;92.018,4;22,45
Sunnova;CA;Behind the Meter;53.804;427.106;61.055,7;14,30
Sunrun Inc.;CA;Behind the Meter;235.367;1.992.670;423.762,1;21,27
Surprise Valley Electrification;CA;Cooperative;2.828;35.932;3.607,2;10,04
Tesla Inc.;CA;Behind the Meter;147.406;1.059.434;195.127,0;18,42
Turlock Irrigation District;CA;Political Subdivision;78.186;813.781;130.144,0;15,99
Valley Electric Assn, Inc;CA;Cooperative;12;117;18,3;15,64
Black Hills Colorado Electric, LLC;CO;Investor Owned;88.112;634.576;123.042,0;19,39
CORE Electric Cooperative;CO;Cooperative;158.050;1.701.697;243.062,0;14,28
City of Colorado Springs - (CO);CO;Municipal;209.601;1.583.420;239.161,0;15,10
